P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,number_of_fails,mp.dps,ComputTime
0.180656412304456,0.296681188183326,0.175523880672421,5.08241364533003,0,0.0398107170553497,3,25,1390.03225469589
0.196383089712862,0.309476250681708,0.184974275666373,4.88928791435991,0,0.0446683592150963,1,25,1336.2519774437
0.213057393109449,0.322861582307998,0.195110446839282,4.70171650196641,0,0.0501187233627272,1,25,1249.74787569046
0.230670991256743,0.336860605687211,0.205996238395514,4.51958737579033,0,0.0562341325190349,0,40,3142.35009431839
0.249204260514614,0.351489205703739,0.217699636623099,4.34282027286329,0,0.0630957344480193,1,25,1280.03942203522
0.268625217797244,0.366782387269419,0.230306953770157,4.17123024217646,0,0.0707945784384138,0,25,1116.3988673687
0.288888608825164,0.382752384042492,0.243902315615173,4.00477706316161,0,0.0794328234724281,1,40,3408.41463685036
0.309935207026206,0.399417427903718,0.258583826572636,3.84335537425222,0,0.0891250938133745,0,25,1065.55632185936
0.331691379636305,0.416805460013405,0.274467565345806,3.68692350236786,0,0.1,0,40,3101.53031730652
0.354068975955324,0.434923341004173,0.291679647986431,3.53533732296317,0,0.112201845430196,0,40,2701.62917160988
0.376965588231588,0.453787396965737,0.310351938580199,3.38865013356946,0,0.125892541179417,0,25,1164.19207000732
0.400265227447494,0.473392208396304,0.330642226255008,3.24679870829749,0,0.141253754462275,0,25,1080.06497430801
0.423839445203775,0.493754875808336,0.352730329058965,3.10971287858675,0,0.158489319246111,0,40,3077.75385284424
0.447548917857892,0.514857452644668,0.376806880343995,2.97740863369391,0,0.177827941003892,0,25,1051.98555779457
0.471245491541431,0.536696677958314,0.403110510519447,2.84976512500704,0,0.199526231496888,0,25,1197.92297887802
0.494774666696727,0.55923520872075,0.431880989398536,2.726860617865,0,0.223872113856834,0,25,1219.59100794792
0.517978479107331,0.582444631356791,0.463408649699336,2.60868242144613,0,0.251188643150958,0,25,872.553889274597
0.540698712572547,0.606273693015251,0.498026533018438,2.49517699827512,0,0.281838293126446,0,25,1214.8618927002
0.562780358154884,0.630656633708267,0.536096371981321,2.38640808312301,0,0.316227766016838,0,40,2552.41033005714
0.584075214116394,0.655496500461753,0.578043674602708,2.28230827772342,0,0.354813389233576,0,25,1238.60065150261
0.604445506293446,0.680718114781475,0.624380493272353,2.18287036773304,0,0.398107170553497,0,25,887.383417367935
0.62376739528891,0.706193265629816,0.675635073474878,2.08819948143585,0,0.446683592150964,0,25,959.083106517792
0.641934229294492,0.731743215304011,0.73245429232998,1.99820780933628,0,0.501187233627273,0,25,1016.83720040321
0.658859397720854,0.757237108967616,0.795574997011174,1.91294884491341,0,0.562341325190349,0,40,2970.02149915695
0.674478642892997,0.782463618920998,0.865845341474407,1.83242907319702,0,0.630957344480194,0,40,2605.7253074646
0.688751693755408,0.807242675313164,0.944241809893509,1.75662228423771,0,0.707945784384138,0,25,1019.26480650902
0.701663097547838,0.831303063733922,1.03188546795513,1.6855481829019,0,0.794328234724282,1,25,1268.31272959709
0.713222151903835,0.854441495374395,1.13002107915396,1.6192433977929,0,0.891250938133746,0,25,1027.74465298653
0.723461865599957,0.876453685089146,1.24013995135528,1.55760212130647,0,1,0,40,2853.80329179764
0.732436936582837,0.897084737809412,1.36385751890735,1.50064094529309,0,1.12201845430196,0,25,1312.71221637726
0.740220795927076,0.916179687031762,1.50314906707637,1.44820179400192,0,1.25892541179417,0,25,970.752220392227
0.746901857108622,0.933575722987358,1.66002095556531,1.40027840377439,0,1.41253754462276,0,25,818.375427722931
0.752579203264382,0.949254039331237,1.83694879424727,1.35663007835659,0,1.58489319246111,1,25,1183.04728889465
0.757358023718132,0.963097459771057,2.03646972235658,1.31715966843843,0,1.77827941003892,0,25,1289.91183972359
0.761345159498945,0.97518995606025,2.26163211057272,1.28159208401254,0,1.99526231496888,0,25,1095.53576397896
0.764645106400662,0.985587193307994,2.51566646048112,1.24971815520586,0,2.23872113856834,0,25,984.657763242722
0.767356752341433,0.994413622482942,2.80210995124644,1.22125345078872,0,2.51188643150958,0,40,3152.13707399368
0.7695710103719,1.00182452207335,3.12509165109712,1.19592043658719,0,2.81838293126446,0,40,3063.29886817932
0.771369375162723,1.0079855832325,3.48897773153948,1.17342563479077,0,3.16227766016838,1,25,1311.68663334847
0.772823317854187,1.01306309331957,3.89878807260254,1.15350408195183,0,3.54813389233576,2,40,3352.48348426819
0.773994357405679,1.01720781571976,4.36005255875901,1.135873621815,0,3.98107170553497,1,25,1279.45907306671
0.774934617682692,1.02057371659482,4.87899002407034,1.1202954373797,0,4.46683592150963,1,25,1188.41170406342
0.775687686055624,1.02329168180745,5.46253395061569,1.10653731786469,0,5.01187233627273,1,40,2996.12082505226
0.776289619888253,1.02548514577137,6.11848303638196,1.0943837350966,0,5.62341325190349,0,25,1533.63715267181
0.776769986444105,1.02723308760721,6.85551570934092,1.08365403063825,0,6.30957344480194,0,25,970.377910375595
0.777152860019505,1.02864394326781,7.68352397426562,1.07416708603386,0,7.07945784384138,2,25,1373.164498806
0.777457731831116,1.02976279214278,8.61340517415726,1.06578637915745,0,7.94328234724282,0,25,1159.60422849655
0.77770031189813,1.03065614876008,9.65760492581806,1.05837617694278,0,8.91250938133746,0,25,938.32689499855
0.777893217900899,1.03136490099344,10.8299629321408,1.05182021862231,0,10,1,25,1004.19340991974
0.778046555879662,1.0319322924689,12.145976313315,1.046017615338,0,11.2201845430196,0,40,2754.76820993423
0.778168402790343,1.03238127101954,13.6232209330179,1.04087673709588,0,12.5892541179417,0,25,886.145228862763
0.778265203151201,1.03273761248963,15.2811911560651,1.0363233947126,0,14.1253754462276,1,25,1064.49700236321
0.778342092395565,1.03302143820348,17.1419549085901,1.03228690013101,0,15.8489319246111,0,40,2697.04190039635
