t,P,Marginal
-10.0,6.410381530900352e-112,4.863825513846827e-24
-9.993998799759952,8.436026729358429e-112,5.177089488994608e-24
-9.987997599519904,1.1100094257528945e-111,5.510323356688179e-24
-9.981996399279856,1.460326739784004e-111,5.864786744228829e-24
-9.975995199039808,1.9209146129469932e-111,6.2418178691871285e-24
-9.96999399879976,2.5263919887548933e-111,6.642838387878854e-24
-9.963992798559712,3.3222175148230213e-111,7.069358539499014e-24
-9.957991598319664,4.3680745801358064e-111,7.52298260372743e-24
-9.951990398079616,5.7423106052460506e-111,8.005414690679302e-24
-9.945989197839568,7.547758042453452e-111,8.518464883196425e-24
-9.93998799759952,9.91936597728722e-111,9.064055752662796e-24
-9.933986797359472,1.3034203991818715e-110,9.644229270786176e-24
-9.927985597119424,1.712457370781445e-110,1.0261154141118638e-23
-9.921984396879376,2.2495190792564945e-110,1.0917133575498613e-23
-9.915983196639328,2.954569767572997e-110,1.1614613542088939e-23
-9.90998199639928,3.880015634551264e-110,1.2356191513264596e-23
-9.903980796159232,5.0945679529454555e-110,1.3144625743275323e-23
-9.897979595919184,6.688302411113289e-110,1.3982845107377398e-23
-9.891978395679136,8.779284084731964e-110,1.4873959536001153e-23
-9.885977195439088,1.1522241209556661e-109,1.582127107950233e-23
-9.87997599519904,1.5119919629892232e-109,1.6828285641142217e-23
-9.873974794958992,1.9837944140964325e-109,1.7898725418160553e-23
-9.867973594718944,2.6024266895577517e-109,1.903654209315327e-23
-9.861972394478896,3.4134614838646806e-109,2.0245930820451647e-23
-9.855971194238847,4.476578156077324e-109,2.1531345054828413e-23
-9.8499699939988,5.869917506989413e-109,2.2897512272637746e-23
-9.843968793758751,7.695777227098995e-109,2.4349450638438953e-23
-9.837967593518703,1.008805962501824e-108,2.5892486673266907e-23
-9.831966393278655,1.3222009268576206e-108,2.753227398400605e-23
-9.825965193038607,1.732694267068297e-108,2.927481311680883e-23
-9.81996399279856,2.270288684403558e-108,3.112647260118543e-23
-9.813962792558511,2.9742323704743704e-108,3.309401125528998e-23
-9.807961592318463,3.895860283032383e-108,3.5184601827052475e-23
-9.801960392078415,5.102306191313309e-108,3.740585605016722e-23
-9.795959191838367,6.681351619737619e-108,3.976585119856168e-23
-9.78995799159832,8.747758928279448e-108,4.2273158227848576e-23
-9.783956791358271,1.1451541528331096e-107,4.4936871597423825e-23
-9.777955591118223,1.4988762115335296e-107,4.7766640872329203e-23
-9.771954390878175,1.961562953250855e-107,5.0772704209769024e-23
-9.765953190638127,2.5666899130452762e-107,5.396592384127134e-23
-9.75995199039808,3.357988674510984e-107,5.7357823667936e-23
-9.753950790158031,4.392580414455736e-107,6.096062909303341e-23
-9.747949589917983,5.745064192595269e-107,6.478730922343036e-23
-9.741948389677935,7.512850072333967e-107,6.88516215789448e-23
-9.735947189437887,9.82311505012522e-107,7.316815945679306e-23
-9.729945989197839,1.2841874216836743e-106,7.775240210681563e-23
-9.723944788957791,1.6785808575065687e-106,8.262076788217729e-23
-9.717943588717743,2.1937684894821966e-106,8.77906705397609e-23
-9.711942388477695,2.866645543297107e-106,9.328057887454114e-23
-9.705941188237647,3.7453453853923257e-106,9.911007988286554e-23
-9.699939987997599,4.892653112692337e-106,1.0529994566081642e-22
-9.693938787757551,6.390453124364199e-106,1.1187220425571455e-22
-9.687937587517503,8.345522989716625e-106,1.1885021470138773e-22
-9.681936387277455,1.0897079993757297e-105,1.2625874648110408e-22
-9.675935187037407,1.4226609060498821e-105,1.3412406367610029e-22
-9.669933986797359,1.857065979100988e-105,1.4247401407246103e-22
-9.66393278655731,2.4237507070605257e-105,1.5133812351477261e-22
-9.657931586317263,3.162883842042275e-105,1.6074769581152843e-22
-9.651930386077215,4.12679804295871e-105,1.7073591851475432e-22
-9.645929185837167,5.383663032623951e-105,1.8133797491480283e-22
-9.639927985597119,7.022264817438879e-105,1.925911626107904e-22
-9.63392678535707,9.15822308248846e-105,2.045350190377781e-22
-9.627925585117023,1.194207831215707e-104,2.1721145435358874e-22
-9.621924384876975,1.5569809310356764e-104,2.3066489211117256e-22
-9.615923184636927,2.0296509442392048e-104,2.44942418166751e-22
-9.609921984396879,2.645416755260211e-104,2.6009393829965355e-22
-9.60392078415683,3.447478198776986e-104,2.761723450468934e-22
-9.597919583916783,4.492040274002317e-104,2.9323369428418357e-22
-9.591918383676735,5.85221723851107e-104,3.113373921153595e-22
-9.585917183436687,7.623105359477401e-104,3.3054639266413877e-22
-9.579915983196639,9.928373148108592e-104,3.509274073959027e-22
-9.573914782956592,1.2928821721868989e-103,3.725511266328274e-22
-9.567913582716542,1.6833502567154013e-103,3.954924539633857e-22
-9.561912382476496,2.191415452858434e-103,4.198307542868002e-22
-9.555911182236446,2.8523948135902856e-103,4.456501162754256e-22
-9.5499099819964,3.712181868159819e-103,4.730396300816783e-22
-9.543908781756352,4.830404957236619e-103,5.020936811637601e-22
-9.537907581516304,6.28452600113968e-103,5.329122611529481e-22
-9.531906381276256,8.175158918081949e-103,5.656012967381232e-22
-9.525905181036208,1.0632969568564819e-102,6.0027299759777155e-22
-9.51990398079616,1.3827626160046054e-102,6.370462244680338e-22
-9.513902780556112,1.797940768339082e-102,6.760468784966695e-22
-9.507901580316064,2.337425745705895e-102,7.1740831309756125e-22
-9.501900380076016,3.0383301237558237e-102,7.612717695887415e-22
-9.495899179835968,3.948815014611572e-102,8.077868379690615e-22
-9.48989797959592,5.1313697940408824e-102,8.571119442647666e-22
-9.483896779355872,6.667062588087964e-102,9.094148659575956e-22
-9.477895579115824,8.661048014792441e-102,9.648732770908247e-22
-9.471894378875776,1.1249702980629053e-101,1.0236753247391718e-21
-9.465893178635728,1.4609870369254835e-101,1.0860202386229044e-21
-9.45989197839568,1.897083146715935e-101,1.1521189757461501e-21
-9.453890778155632,2.4629810292036974e-101,1.2221949020445464e-21
-9.447889577915584,3.197204869387232e-101,1.2964845131383072e-21
-9.441888377675536,4.149679576952753e-101,1.3752381964038329e-21
-9.435887177435488,5.38509488882726e-101,1.4587210367004734e-21
-9.42988597719544,6.987259243904609e-101,1.5472136682193365e-21
-9.423884776955392,9.064733779948207e-101,1.641013175058464e-21
-9.417883576715344,1.1758121724673932e-100,1.740434043273677e-21
-9.411882376475296,1.5249498139052835e-100,1.845809167307321e-21
-9.405881176235248,1.9774606620678296e-100,1.957490913858458e-21
-9.3998799759952,2.56386324752214e-100,2.0758522464281808e-21
-9.393878775755152,3.323659799107491e-100,2.2012879139532035e-21
-9.387877575515104,4.3079730245528327e-100,2.3342157071301203e-21
-9.381876375275056,5.582954527472377e-100,2.4750777862323503e-21
-9.375875175035008,7.234189998790743e-100,2.6243420844322713e-21
-9.36987397479496,9.372391827577694e-100,2.782503790863032e-21
-9.363872774554912,1.2140754255001243e-99,2.9500869178886076e-21
-9.357871574314863,1.5724455179909505e-99,3.1276459572974853e-21
-9.351870374074815,2.036292926646048e-99,3.3157676303956195e-21
-9.345869173834767,2.6365718209368705e-99,3.515072737248696e-21
-9.33986797359472,3.4132937690120426e-99,3.7262181106130504e-21
-9.333866773354671,4.418170165518481e-99,3.949898680399596e-21
-9.327865573114623,5.718023276762051e-99,4.1868496548366605e-21
-9.321864372874575,7.399188804060482e-99,4.43784882483661e-21
-9.315863172634527,9.57319731488984e-99,4.7037189984284625e-21
-9.30986197239448,1.238410491590693e-98,4.985330572495356e-21
-9.303860772154431,1.6017950482191552e-98,5.28360424945274e-21
-9.297859571914383,2.0714954480833663e-98,5.599513906921647e-21
-9.291858371674335,2.6785251768388363e-98,5.9340896288924225e-21
-9.285857171434287,3.4629179062171764e-98,6.288420907339132e-21
-9.27985597119424,4.476343169444116e-98,6.663660023734741e-21
-9.273854770954191,5.7854782539616755e-98,7.061025620433397e-21
-9.267853570714143,7.476354280386176e-98,7.481806472430173e-21
-9.261852370474095,9.659957071834251e-98,7.927365470581876e-21
-9.255851170234047,1.2479443996515103e-97,8.39914382797658e-21
