t,P,Marginal
-9.639927985597119,3.084855859666665e-46,2.0537460839639957e-43
-9.63392678535707,3.4932292010200566e-46,2.319441373625688e-43
-9.627925585117023,3.955363704179556e-46,2.619311490822553e-43
-9.621924384876975,4.478297106979916e-46,2.9577263721274575e-43
-9.615923184636927,5.0699831861498544e-46,3.339611410311967e-43
-9.609921984396879,5.739410299535396e-46,3.770517630322363e-43
-9.60392078415683,6.496735178368669e-46,4.2567006767096106e-43
-9.597919583916783,7.35343391972887e-46,4.805209711979804e-43
-9.591918383676735,8.3224723772094e-46,5.423987461647012e-43
-9.585917183436687,9.418498426982413e-46,6.121982794877204e-43
-9.579915983196639,1.0658058900869434e-45,6.909277401564949e-43
-9.573914782956592,1.205984433210423e-45,7.797228319787878e-43
-9.567913582716542,1.3644965058187451e-45,8.798628284424844e-43
-9.561912382476496,1.5437262674151676e-45,9.927886111187379e-43
-9.555911182236446,1.7463661335025292e-45,1.1201229603686888e-42
-9.5499099819964,1.9754563975253193e-45,1.2636933778010687e-42
-9.543908781756352,2.2344299153433297e-45,1.4255577543809387e-42
-9.537907581516304,2.527162495165713e-45,1.608033236753679e-42
-9.531906381276256,2.858029717029508e-45,1.813728687752242e-42
-9.525905181036208,3.231970997230511e-45,2.0455811857608357e-42
-9.51990398079616,3.654561815891002e-45,2.3068970622691387e-42
-9.513902780556112,4.1320951414957835e-45,2.601398038285262e-42
-9.507901580316064,4.6716732163501657e-45,2.9332730890943904e-42
-9.501900380076016,5.281311013310464e-45,3.3072367440600806e-42
-9.495899179835968,5.970052838831836e-45,3.728594614782959e-42
-9.48989797959592,6.74810374264212e-45,4.20331704209558e-42
-9.483896779355872,7.626977602736341e-45,4.738121861357958e-42
-9.477895579115824,8.619663988762049e-45,5.3405674077543447e-42
-9.471894378875776,9.740816170451058e-45,6.019157020378334e-42
-9.465893178635728,1.1006962934165632e-44,6.783456457622198e-42
-9.45989197839568,1.2436747203928497e-44,7.644225808764362e-42
-9.453890778155632,1.4051194838057608e-44,8.613567679922928e-42
-9.447889577915584,1.587401739384991e-44,9.705093649229283e-42
-9.441888377675536,1.7931953126403583e-44,1.0934111228990495e-41
-9.435887177435488,2.0255151020091045e-44,1.2317833844905898e-41
-9.42988597719544,2.2877603249641973e-44,1.387561664761148e-41
-9.423884776955392,2.5837632140401177e-44,1.562922131389631e-41
-9.417883576715344,2.9178438453220304e-44,1.7603113378289862e-41
-9.411882376475296,3.294871866887108e-44,1.9824796065306252e-41
-9.405881176235248,3.7203359901330525e-44,2.2325185073988367e-41
-9.3998799759952,4.200422214168704e-44,2.5139029305717805e-41
-9.393878775755152,4.742101873922914e-44,2.8305383130477544e-41
-9.387877575515104,5.353230737974722e-44,3.1868136463629397e-41
-9.381876375275056,6.042660534142607e-44,3.5876609683472956e-41
-9.375875175035008,6.820364451637176e-44,4.0386221269092194e-41
-9.36987397479496,7.697578360372869e-44,4.5459236989124304e-41
-9.363872774554912,8.686959703421653e-44,5.116561053724278e-41
-9.357871574314863,9.802766260459047e-44,5.758392670290868e-41
-9.351870374074815,1.1061057251634329e-43,6.480245950149198e-41
-9.345869173834767,1.2479919556218694e-43,7.292035918317197e-41
-9.33986797359472,1.407972216271335e-43,8.204898371407038e-41
-9.333866773354671,1.5883402351392592e-43,9.231339219706866e-41
-9.327865573114623,1.7916787541624912e-43,1.0385401979742766e-40
-9.321864372874575,2.020895722048645e-43,1.1682855608617423e-40
-9.315863172634527,2.279264991257626e-43,1.314140513418723e-40
-9.30986197239448,2.5704720760757863e-43,1.4780927829196937e-40
-9.303860772154431,2.898665597185094e-43,1.6623738006540632e-40
-9.297859571914383,3.2685151149117735e-43,1.869488388099462e-40
-9.291858371674335,3.685276139485668e-43,2.1022480354691403e-40
-9.285857171434287,4.154863203287613e-43,2.3638082044436047e-40
-9.27985597119424,4.683931988478448e-43,2.6577101384472363e-40
-9.273854770954191,5.279971625013718e-43,2.9879277214927815e-40
-9.267853570714143,5.951408410447654e-43,3.3589199911096547e-40
-9.261852370474095,6.707722355904914e-43,3.775689982999464e-40
-9.255851170234047,7.559578134149654e-43,4.243850665721353e-40
-9.249849969993999,8.518972198049206e-43,4.769698813902684e-40
-9.243848769753951,9.599398053422889e-43,5.360297769316067e-40
-9.237847569513903,1.0816031912094501e-42,6.023570151911038e-40
-9.231846369273855,1.2185941222074976e-42,6.768401708932315e-40
-9.225845169033807,1.3728318875710666e-42,7.604757631153504e-40
-9.219843968793759,1.5464746237284313e-42,8.543812822742974e-40
-9.213842768553711,1.7419488513361907e-42,9.598097787297325e-40
-9.207841568313663,1.9619826417077497e-42,1.0781661989291768e-39
-9.201840368073615,2.209642855706584e-42,1.2110256770022018e-39
-9.195839167833567,2.4883769519074367e-42,1.3601540142744308e-39
-9.189837967593519,2.802059921033114e-42,1.5275306066166853e-39
