P_max,OmegaA,OmegaB,t_max,Mu,Gamma_e,number_of_fails,mp.dps,ComputTime
0.642103181398561,0.0014624542498542,1.46080548130391,1000.86076824818,999.859231729458,0.001,11.0,60.0,1672.50305438042
0.642167905597395,0.0016408997422067,1.46060468702006,892.111987067844,891.110263334174,0.0011220184543019,15.0,60.0,2380.92159748077
0.642240512195229,0.001841118447872,1.46037939729423,795.189707024729,794.187773234879,0.0012589254117941,6.0,60.0,1208.30105876923
0.642321959026652,0.0020657670787345,1.46012701903114,708.807583155229,707.805413774591,0.0014125375446227,19.0,60.0,2748.67724633217
0.642413319756293,0.0023178262651602,1.45984440737755,631.819606317105,630.817172882081,0.0015848931924611,9.0,60.0,1677.34839057922
0.642515797735047,0.0026006404138359,1.45952725164768,563.204041389194,562.20131166908,0.0017782794100389,9.0,60.0,1578.5275952816
0.642630741472348,0.002917961723422,1.45917212883688,502.05049898349,501.047436973121,0.0019952623149688,8.0,60.0,1524.13620042801
0.642759661900913,0.0032739998783039,1.45877407461983,447.547507367454,446.544072767132,0.0022387211385683,11.0,60.0,2048.13905382156
0.642904251626956,0.0036734773032199,1.45832828841992,398.971815801721,397.967963432824,0.0025118864315095,14.0,60.0,1657.1728823185
0.643066406373212,0.0041216953327213,1.45782911924731,355.678774397503,354.674453683333,0.0028183829312644,19.0,60.0,2777.20235466957
0.643248248839961,0.0046245985050257,1.45727013127923,317.094016015178,316.089170124303,0.0031622776601683,1.0,60.0,841.607760667801
0.643452155221846,0.0051888557679489,1.45664488388648,282.705574725173,281.700140368498,0.0035481338923357,13.0,60.0,2684.45994472504
0.643680784632114,0.0058219520062831,1.45594477697771,252.056990467936,251.05089643876,0.0039810717055349,3.0,60.0,759.845467329025
0.643937111694646,0.0065322794895897,1.45516179600592,224.7417106131,223.734877408384,0.0044668359215096,5.0,60.0,1057.74802660942
0.644224462567487,0.0073292567356625,1.45428647721656,200.397237435469,199.389575807552,0.0050118723362727,4.0,60.0,1021.05738711357
0.644546554656532,0.0082234462632807,1.45330810434656,178.70053580598,177.691946461124,0.0056234132519034,0.0,60.0,575.724366664887
0.644907540260834,0.0092266942372699,1.45221557117751,159.363662022249,158.354033654701,0.0063095734448019,11.0,60.0,2773.0792286396
0.645312054355286,0.0103522933147552,1.45099561631583,142.130047767573,141.11925571768,0.0070794578438413,0.0,60.0,731.098931312561
0.64576526665562,0.011615130813485,1.44963347484546,126.771130821953,125.759036799144,0.0079432823472428,37.0,30.0,864.105347394943
0.646272938015544,0.0130319396285406,1.44811638243109,113.082882241281,112.06933042891,0.0089125093813374,36.0,30.0,725.562094211578
0.646834766497879,0.0145662845148885,1.4464821228243,101.436268212054,100.421165586098,0.01,24.0,30.0,642.94405579567
0.647478024716277,0.0164045450375777,1.44454713016693,90.0121144106965,88.9951109007609,0.0112201845430196,37.0,30.0,733.271631479263
0.648190482112397,0.0184048684184101,1.44245663940808,80.3233876409746,79.3043473566115,0.0125892541179417,35.0,30.0,695.508355617523
0.64898762063167,0.0206487215728086,1.44013716466498,71.6890986058061,70.6677854642837,0.0141253754462275,35.0,30.0,740.663295507431
0.649879132609548,0.0231655256856557,1.43756566841078,63.9948477860354,62.9709969328355,0.0158489319246111,28.0,30.0,594.563366174698
0.650875704064545,0.0259883313344224,1.43472385495536,57.1382888430099,56.1116125433507,0.0177827941003892,28.0,30.0,671.654258489609
0.651989077816369,0.0291538929111813,1.43158343471296,51.028545516634,49.9987201396261,0.0199526231496888,21.0,30.0,537.502864360809
0.653232105728408,0.0327034141007215,1.42812916975266,45.5846194606735,44.5512934004348,0.0223872113856834,21.0,30.0,611.041326284409
0.654618782694962,0.0366826481209602,1.42433403587982,40.7341778991686,39.696963366438,0.0251188643150958,11.0,30.0,572.773533821106
0.656164252170054,0.0411426590252624,1.42018189441462,36.4129579656039,35.3714367355216,0.0281838293126446,10.0,30.0,615.074722766876
0.657884769351079,0.0461398960234407,1.41566071314293,32.5635851554531,31.5173030909478,0.0316227766016838,17.0,30.0,590.568840503693
0.65979760340131,0.051737088237887,1.41076029407213,29.1349266475205,28.0833984278191,0.0354813389233576,10.0,30.0,523.543987989426
0.66192085429361,0.0580032737751586,1.40547780185317,26.0815094191321,25.0242139956464,0.0398107170553497,10.0,30.0,422.898139238358
0.66427315282198,0.0650138934285266,1.39982304884093,23.3627356954403,22.2991286290328,0.0446683592150963,10.0,30.0,537.26268196106
0.666873204867496,0.0728506350605656,1.39382086773808,20.9426919670296,19.8722206175059,0.0501187233627273,1.0,30.0,436.326152563095
0.669739133426465,0.0816021307420546,1.38753180872765,18.7890854701851,17.7111902064192,0.0562341325190349,10.0,30.0,497.826867580414
0.672887567085558,0.0913625721826291,1.38103185383701,16.8732736049765,15.7874206286722,0.0630957344480193,6.0,30.0,454.161701917648
0.676332424044846,0.102230252169012,1.37441994450373,15.1695854881491,14.0752789857921,0.0707945784384138,6.0,30.0,460.856812477112
0.680083352732373,0.11430512611074,1.36784074188093,13.6554074431756,12.5522288505168,0.0794328234724282,9.0,30.0,492.978850841522
0.684143819735453,0.12768720341615,1.36151823099303,12.3102241495857,11.1978879786971,0.0891250938133746,10.0,30.0,859.192350149155
0.688508890555103,0.142470276867179,1.35566700935902,11.1157302243927,9.99410629649416,0.1,4.0,30.0,400.27135014534
0.693162832305307,0.158744412197767,1.3505944287771,10.0555122366485,8.92469330664608,0.112201845430196,4.0,30.0,430.469576120377
0.698076771724466,0.176578405923479,1.34660354594467,9.1146882689845,7.97501174308831,0.125892541179417,4.0,30.0,498.123653650284
0.703206745111288,0.196029910278562,1.34403986756236,8.279777235506,7.13187356940588,0.141253754462275,4.0,30.0,795.197455406189
0.708492535038185,0.217131593847958,1.34328329618115,7.53850526661591,6.38333514924164,0.158489319246111,2.0,30.0,508.606039047241
0.713857656301341,0.239894805259612,1.34459963103679,6.87969106912706,5.71845002176446,0.177827941003892,3.0,30.0,449.411836862564
0.719210703442191,0.264313627227232,1.34829132720612,6.29322548539831,5.12738941713515,0.199526231496888,1.0,30.0,621.730021715164
0.724448028116317,0.290374652498169,1.35452745045978,5.76986554977119,4.60103945492036,0.223872113856834,1.0,30.0,575.07470202446
0.729457449938508,0.318045791127538,1.36342075981764,5.30134065898765,4.13123090402652,0.251188643150958,1.0,30.0,616.141806125641
0.734122513155108,0.347303701260658,1.37502727030131,4.88036281998447,3.71066220518953,0.281838293126446,0.0,30.0,429.017613887787
0.738326740571999,0.37813093267085,1.38921332925614,4.50047539727518,3.33274840713371,0.316227766016838,4.0,30.0,650.562814712524
0.741957401252175,0.410521866327779,1.40595672476756,4.15625495389204,2.99195766761131,0.354813389233576,5.0,30.0,981.484426736832
0.744908449194931,0.444500224532202,1.42503586891357,3.84275951015353,2.68312399016718,0.398107170553497,1.0,30.0,464.419360160828
0.747082445234256,0.48012966703552,1.44628745328716,3.55594861245996,2.40201300851145,0.446683592150964,1.0,30.0,700.730617284775
0.748391408287291,0.51749883852221,1.46953175579979,3.29239128818152,2.14497450522725,0.501187233627273,0.0,30.0,549.058883428574
0.748756647673907,0.556817313910213,1.49464109569805,3.04903251162861,1.90882187572894,0.562341325190349,0.0,30.0,389.406193494797
0.748107722747948,0.59832716278744,1.5215147417469,2.82343581689991,1.69104723581704,0.630957344480194,0.0,30.0,452.612911701202
0.746380777733114,0.642408197339462,1.54996406221706,2.61363326804855,1.48957016791446,0.707945784384138,0.0,30.0,516.341611146927
0.743516615061628,0.689594037832152,1.58000639096993,2.41787592570038,1.30273138377617,0.794328234724282,0.0,30.0,413.578258275986
0.73945897978771,0.740585073717067,1.61158989717898,2.23491035962359,1.12937082998822,0.891250938133746,0.0,30.0,446.48154425621
0.734153577375571,0.796329593919996,1.64462405760997,2.06359534851633,0.968474911480306,1.0,0.0,30.0,467.517987966538
0.727548285611445,0.858011298576181,1.67890942058146,1.90324210654061,0.819559485237672,1.12201845430196,0.0,30.0,389.267676353455
0.719594802883641,0.927137143076056,1.7139596508562,1.75313075671825,0.68189588641082,1.25892541179417,0.0,30.0,443.848115444183
0.710251649071785,1.0057357302067,1.7490095324568,1.61278067492554,0.555065998063053,1.41253754462276,0.0,30.0,397.035902738571
0.699488100349419,1.09662151765762,1.7823106970381,1.48134948637082,0.437923742901935,1.58489319246111,0.0,30.0,498.373685836792
0.687288418135739,1.20418262732715,1.81067167293565,1.35791418799901,0.328892532742005,1.77827941003892,0.0,30.0,461.874750375748
