t,P,Marginal
-10.0,1.403980369444515e-38,2.138625326806905e-23
-9.993998799759952,1.547048181836185e-38,2.275134198086658e-23
-9.987997599519904,1.7045991722755634e-38,2.4202402483143486e-23
-9.981996399279856,1.8780897234838628e-38,2.574477407320199e-23
-9.975995199039808,2.0691216714384493e-38,2.7384122861392547e-23
-9.96999399879976,2.2794567315736067e-38,2.9126461473353724e-23
-9.963992798559712,2.511032345683303e-38,3.0978169922563216e-23
-9.957991598319664,2.7659790884303076e-38,3.294601772046375e-23
-9.951990398079616,3.046639785847159e-38,3.5037187296345067e-23
-9.945989197839568,3.3555905129942214e-38,3.7259298803301846e-23
-9.93998799759952,3.6956636541425354e-38,3.962043639095871e-23
-9.933986797359472,4.069973226610206e-38,4.212917603027123e-23
-9.927985597119424,4.4819426888495864e-38,4.4794614980588615e-23
-9.921984396879376,4.935335474721217e-38,4.7626402994314997e-23
-9.915983196639328,5.434288519277807e-38,5.063477535994573e-23
-9.90998199639928,5.983349067012559e-38,5.383058789000037e-23
-9.903980796159232,6.587515081614458e-38,5.722535396643996e-23
-9.897979595919184,7.252279607052539e-38,6.08312837625623e-23
-9.891978395679136,7.983679463537467e-38,6.466132576713253e-23
-9.885977195439088,8.788348698861923e-38,6.872921074364744e-23
-9.87997599519904,9.673577256107687e-38,7.3049498265172e-23
-9.873974794958992,1.0647375363062082e-37,7.763762597314557e-23
-9.867973594718944,1.1718544197276431e-37,8.250996171695859e-23
-9.861972394478896,1.2896753433925507e-37,8.768385873997005e-23
-9.855971194238847,1.4192626341928687e-37,9.317771408699918e-23
-9.8499699939988,1.5617833157650728e-37,9.901103041820664e-23
-9.843968793758751,1.718519353543812e-37,1.0520448142471113e-22
-9.837967593518703,1.890878895084028e-37,1.1177998105229513e-22
-9.831966393278655,2.0804086016241726e-37,1.1876075675117071e-22
-9.825965193038607,2.2888071760479248e-37,1.2617142698203548e-22
-9.81996399279856,2.5179402024588104e-37,1.3403808322158523e-22
-9.813962792558511,2.769856423593569e-37,1.423883767243002e-22
-9.807961592318463,3.046805594355815e-37,1.5125161031172371e-22
-9.801960392078415,3.3512580629497845e-37,1.6065883547564828e-22
-9.795959191838367,3.6859262455421548e-37,1.706429550976553e-22
-9.78995799159832,4.053788176195523e-37,1.8123883210436731e-22
-9.783956791358271,4.458113331128515e-37,1.9248340439561257e-22
-9.777955591118223,4.902490945305006e-37,2.044158064015219e-22
-9.771954390878175,5.390861060092e-37,2.170774976444286e-22
-9.765953190638127,5.927548563419986e-37,2.3051239870237957e-22
-9.75995199039808,6.517300508714307e-37,2.4476703499314947e-22
-9.753950790158031,7.1653270260416e-37,2.5989068882093793e-22
-9.747949589917983,7.877346168650406e-37,2.759355601524917e-22
-9.741948389677935,8.659633070618944e-37,2.9295693661529235e-22
-9.735947189437887,9.519073826916982e-37,3.110133732377615e-22
-9.729945989197839,1.0463224546128215e-36,3.3016688248023293e-22
-9.723944788957791,1.1500376068676802e-36,3.504831351358037e-22
-9.717943588717743,1.2639624889996966e-36,3.720316727121878e-22
-9.711942388477695,1.3890950879050815e-36,3.948861319394474e-22
-9.705941188237647,1.526530243834274e-36,4.1912448208405275e-22
-9.699939987997599,1.6774689812543673e-36,4.4482927578723125e-22
-9.693938787757551,1.8432287319509853e-36,4.720879141850984e-22
-9.687937587517503,2.0252545350388707e-36,5.009929271097382e-22
-9.681936387277455,2.225131306522748e-36,5.316422692143225e-22
-9.675935187037407,2.4445972797670152e-36,5.641396329116515e-22
-9.669933986797359,2.6855587277635264e-36,5.985947790642855e-22
-9.66393278655731,2.950106088506458e-36,6.351238864158535e-22
-9.657931586317263,3.240531626174268e-36,6.738499208073038e-22
-9.651930386077215,3.559348773270874e-36,7.149030252789551e-22
-9.645929185837167,3.909313312489441e-36,7.584209322193641e-22
-9.639927985597119,4.293446571939519e-36,8.045493987854113e-22
-9.63392678535707,4.7150608236386834e-36,8.53442666884787e-22
-9.627925585117023,5.1777870929405933e-36,9.052639490824158e-22
-9.621924384876975,5.6856056059918856e-36,9.601859418664808e-22
-9.615923184636927,6.242879123532234e-36,1.018391367787783e-21
-9.609921984396879,6.8543894325411e-36,1.080073548068428e-21
-9.60392078415683,7.525377292572025e-36,1.1454370073624561e-21
-9.597919583916783,8.261586161297942e-36,1.2146981124422956e-21
-9.591918383676735,9.069310054034607e-36,1.288085746681014e-21
-9.585917183436687,9.955445925048289e-36,1.3658420223015707e-21
-9.579915983196639,1.0927550994545116e-35,1.448223032470867e-21
-9.573914782956592,1.1993905484661762e-35,1.535499645428615e-21
-9.567913582716542,1.3163581270839125e-35,1.6279583429594724e-21
-9.561912382476496,1.444651700197943e-35,1.7259021056405794e-21
-9.555911182236446,1.585360029416937e-35,1.8296513474294225e-21
-9.5499099819964,1.7396757658805463e-35,1.9395449022922045e-21
-9.543908781756352,1.9089052887249446e-35,2.055941065721568e-21
-9.537907581516304,2.0944794680972235e-35,2.179218694141943e-21
-9.531906381276256,2.29796543892066e-35,2.3097783653648145e-21
-9.525905181036208,2.5210794795824773e-35,2.448043603423713e-21
-9.51990398079616,2.7657010984205877e-35,2.5944621712980375e-21
-9.513902780556112,3.033888440386854e-35,2.749507435222371e-21
-9.507901580316064,3.3278951366361644e-35,2.9136798044756272e-21
-9.501900380076016,3.650188731111661e-35,3.0875082507523924e-21
-9.495899179835968,4.003470830553021e-35,3.2715519114377703e-21
-9.48989797959592,4.3906991378406895e-35,3.466401781337426e-21
-9.483896779355872,4.815111543306724e-35,3.672682497657001e-21
-9.477895579115824,5.280252464704035e-35,3.891054223280191e-21
-9.471894378875776,5.790001644051841e-35,4.122214633663271e-21
-9.465893178635728,6.34860562869855e-35,4.366901012946281e-21
-9.45989197839568,6.960712184808473e-35,4.625892465178353e-21
-9.453890778155632,7.631407914242946e-35,4.9000122468672815e-21
-9.447889577915584,8.366259370641024e-35,5.190130227392448e-21
-9.441888377675536,9.171357997596594e-35,5.497165484166246e-21
-9.435887177435488,1.0053369241380872e-34,5.822089039793215e-21
-9.42988597719544,1.1019586222893412e-34,6.16592674885899e-21
-9.423884776955392,1.2077988388682255e-34,6.529762342384039e-21
-9.417883576715344,1.323730559921744e-34,6.914740638400716e-21
-9.411882376475296,1.4507088154418271e-34,7.322070927557861e-21
-9.405881176235248,1.5897783302034972e-34,7.753030543125705e-21
-9.3998799759952,1.7420818824209379e-34,8.208968625266756e-21
-9.393878775755152,1.9088694351756668e-34,8.691310089956598e-21
-9.387877575515104,2.0915081114823497e-34,9.201559813483517e-21
