P_max,Omega,Gamma_e,Delta_1,number_of_fails,ComputTime
4.93809297470654e-05,0.170856343552495,0.01122018,4.0,0,606.223373174667
4.69358495807191e-05,0.170911578840015,0.01122018,4.1,0,674.626578807831
4.46743967317534e-05,0.170974524131237,0.01122018,4.2,0,614.332188844681
4.25651747160004e-05,0.17101555616458,0.01122018,4.3,0,664.858855247498
4.06130259280225e-05,0.171077700966307,0.01122018,4.4,0,602.924436807632
3.87876167279548e-05,0.171123669794195,0.01122018,4.5,0,639.609802246094
3.70854861714391e-05,0.171172687888199,0.01122018,4.6,0,770.284230470657
3.5494319667732e-05,0.171220967749267,0.01122018,4.7,0,698.717252731323
3.40017909284628e-05,0.17126078798905,0.01122018,4.8,0,727.102242231369
3.26098895379391e-05,0.171320618861897,0.01122018,4.9,0,603.670237779617
3.12933267840624e-05,0.17135072264237,0.01122018,5.0,0,690.489656209946
0.0392406086586378,0.0724644441080456,0.01258925,0.0,0,544.039106369019
0.0300198524262008,0.181903565937961,0.01258925,0.1,0,562.037960529327
0.0200789580430879,0.183713840396707,0.01258925,0.2,0,586.081316232681
0.0127923618716649,0.184787298473295,0.01258925,0.3,0,591.873310804367
0.0085266902664169,0.185510329287496,0.01258925,0.4,0,644.37948846817
0.0059026177144718,0.186112156935677,0.01258925,0.5,0,680.961455106735
0.0042036585487544,0.186584651202336,0.01258925,0.6,0,656.591913461685
0.0030806687551907,0.186980942474431,0.01258925,0.7,0,719.595987796783
0.0023209301855263,0.187305798521852,0.01258925,0.8,0,681.756896972656
0.0017938015580953,0.187626522660236,0.01258925,0.9,0,589.019820451737
0.0014176646643316,0.187898288201771,0.01258925,1.0,0,670.859272956848
0.0011429489857323,0.188146229337489,0.01258925,1.1,0,678.133800983429
0.0009376384832364,0.188351730257389,0.01258925,1.2,0,676.111294746399
0.0007814922776297,0.188572907210803,0.01258925,1.3,0,661.110012054443
0.0006602044995902,0.188758660948246,0.01258925,1.4,0,676.549795150757
0.0005645831512477,0.188939611425706,0.01258925,1.5,0,666.525251150131
0.000487963926367,0.189094894229616,0.01258925,1.6,0,552.769989490509
0.0004258278427681,0.189250528794668,0.01258925,1.7,0,589.974688768387
0.0003747958258623,0.189404204539117,0.01258925,1.8,0,643.282890319824
0.0003323567463289,0.189540996264119,0.01258925,1.9,0,584.565259695053
0.0002967300131932,0.189662726627538,0.01258925,2.0,0,579.589002370834
0.0002665481411856,0.189781194572635,0.01258925,2.1,0,594.574316263199
0.0002407645548406,0.189888674928699,0.01258925,2.2,0,575.215567827225
0.0002186110029257,0.190015101228467,0.01258925,2.3,0,607.086720228195
0.0001994091901747,0.190134896128365,0.01258925,2.4,0,605.153209447861
0.0001826213921513,0.190231758528142,0.01258925,2.5,0,688.699246883392
0.0001678820013159,0.190323477125142,0.01258925,2.6,0,693.282242298126
0.0001548814726882,0.19041526391868,0.01258925,2.7,0,566.552849769592
0.0001433757027617,0.190519350398575,0.01258925,2.8,0,646.46090388298
0.0001331111594867,0.190613040708002,0.01258925,2.9,0,691.391039371491
0.000123900522291,0.190684614722214,0.01258925,3.0,0,648.64618563652
0.0001156544492139,0.19078198972407,0.01258925,3.1,0,603.834719657898
0.0001081822993654,0.190844115771229,0.01258925,3.2,0,574.769349098206
0.0001014565004096,0.190939605991137,0.01258925,3.3,0,732.789891004562
9.5326894874922e-05,0.191010181559786,0.01258925,3.4,0,685.19306063652
8.97394950378219e-05,0.191074859449682,0.01258925,3.5,0,688.352885723114
8.46497520169829e-05,0.191156444696578,0.01258925,3.6,0,699.428290843964
7.99807261205706e-05,0.191228365765278,0.01258925,3.7,0,758.993577718735
7.56860996444465e-05,0.191289888916547,0.01258925,3.8,0,622.029609918594
7.17327687648749e-05,0.191350663515,0.01258925,3.9,0,605.877938508987
6.80939026519412e-05,0.191424208077237,0.01258925,4.0,0,714.19961309433
6.4719483778082e-05,0.191481328918711,0.01258925,4.1,0,630.195248603821
6.15982731244744e-05,0.191546631430553,0.01258925,4.2,0,608.244536399841
5.86985119985641e-05,0.191605963178512,0.01258925,4.3,0,647.129082679749
5.59986985730054e-05,0.191659476923623,0.01258925,4.4,0,707.137103796005
5.34869053191874e-05,0.191719713711229,0.01258925,4.5,0,758.883498430252
5.11375349933365e-05,0.191768832380329,0.01258925,4.6,0,688.065169334412
4.89443131761284e-05,0.191823677021402,0.01258925,4.7,0,573.303248643875
4.68923764662871e-05,0.191881187836359,0.01258925,4.8,0,740.302098751068
4.49619908173767e-05,0.191922826506125,0.01258925,4.9,0,668.20369553566
4.31579144363585e-05,0.191984357649045,0.01258925,5.0,0,750.37243270874
0.0427998587141336,0.0779676443275436,0.01412538,0.0,0,643.694613456726
0.0334968282080566,0.203759967451686,0.01412538,0.1,0,658.146166563034
0.0236845811201461,0.205796352786571,0.01412538,0.2,0,560.800913333893
0.015632607811798,0.206989097825445,0.01412538,0.3,0,636.933639526367
0.010637331242216,0.207836504818892,0.01412538,0.4,0,569.654312372208
0.0075223858483827,0.208478143750289,0.01412538,0.5,0,690.452177286148
0.0054581387500402,0.209006783039781,0.01412538,0.6,0,655.300262689591
0.0040545214268745,0.209467269417272,0.01412538,0.7,0,648.589368343353
0.0030843848977824,0.209852239193603,0.01412538,0.8,0,597.827691316605
0.0024007564832843,0.210193411373078,0.01412538,0.9,0,656.840747117996
0.0019078809600744,0.210487263092353,0.01412538,1.0,0,578.996205568314
0.0015448442622661,0.210766593904843,0.01412538,1.1,0,688.799583435059
0.0012715565259416,0.210993363371423,0.01412538,1.2,0,662.825153589249
0.0010626171156857,0.211253159992772,0.01412538,1.3,0,703.183278799057
0.0008995007638297,0.21146066845159,0.01412538,1.4,0,673.023584842682
0.0007703804731782,0.21165665041061,0.01412538,1.5,0,585.98743724823
0.0006667454643407,0.211848160149958,0.01412538,1.6,0,665.814286470413
0.0005823905759482,0.212018625443141,0.01412538,1.7,0,596.405812740326
0.0005129496688389,0.212180348856931,0.01412538,1.8,0,683.212009191513
0.0004551684043854,0.212337646707738,0.01412538,1.9,0,569.928964138031
0.0004066188363922,0.212486230134172,0.01412538,2.0,0,629.174821376801
0.0003654272335486,0.212623448992671,0.01412538,2.1,0,571.960066318512
0.0003301971345201,0.21274780549038,0.01412538,2.2,0,586.70973944664
0.0002998700981769,0.212879369497835,0.01412538,2.3,0,604.939740896225
0.0002735800155701,0.213006617843316,0.01412538,2.4,0,711.719515562058
0.0002506104648379,0.213123521828729,0.01412538,2.5,0,642.503750324249
