P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
0.0032808691254717,1.02689918848296,10.3481609755378,1.4681134803045,0.463743448236721,0.01,3.7,-3.7,1,12260.4322087765
0.0027054149867023,1.03054219478343,6.17893189929744,1.10515577558144,0.0,0.01,3.8,-3.8,0,1335.18611001968
0.0031141505380038,1.02760896165476,10.9065577872239,1.44416807280592,0.440260969754754,0.01,3.9,-3.9,0,1598.60137891769
0.0025707328911914,1.0308713464332,6.5055500466568,1.09976353448543,0.0,0.01,4.0,-4.0,0,1057.87905263901
0.0029635228291771,1.02821871707939,11.4648371617099,1.42255510416585,0.419046185252586,0.01,4.1,-4.1,0,1546.53740048409
0.0024488111005832,1.03117905373057,6.83206908698806,1.09489499101872,0.0,0.01,4.2,-4.2,0,1336.21082377434
0.0023920822850485,1.0313035567744,6.9952336949577,1.0926517424422,7.08431648532019e-11,0.01,4.3,-4.3,0,8780.57312893868
0.002337919851285,1.03143239740892,7.15857783878768,1.09049025579823,0.0,0.01,4.4,-4.4,0,1552.19287991524
0.0027020568614639,1.02921448635595,12.5817002073738,1.38507994224561,0.38220713817383,0.01,4.5,-4.5,0,1535.17017531395
0.0026437320835065,1.02941667495059,12.8608526615135,1.3767333073354,0.373996133231874,0.01,4.6,-4.6,0,2818.64559721947
0.0021892013337156,1.03174977534308,7.64818404135509,1.08459728499941,0.0,0.01,4.7,-4.7,0,1194.91251349449
0.002143742417555,1.03185137794604,7.81132705609593,1.08279145759786,0.0,0.01,4.8,-4.8,0,1062.28809094429
0.0024829257681971,1.02996149581434,13.698478281915,1.35372262758637,0.35133075389299,0.01,4.9,-4.9,0,10673.3685023785
0.0020582584600032,1.03200956710044,8.13770036232356,1.0794205760181,0.0,0.01,5.0,-5.0,0,1742.63720703125
0.0020180212876539,1.03208629120259,8.30078409382167,1.07782530612755,0.0,0.01,5.1,-5.1,1,2109.80728054047
0.0023405361493183,1.0304195120652,14.5362483015341,1.33336771417407,0.331264530404801,0.01,5.2,-5.2,0,2109.54732584953
0.0019420859668564,1.03222715493182,8.62707148122756,1.07484572573424,0.0,0.01,5.3,-5.3,1,2766.36454200745
0.001906220396477,1.03230006761135,8.79020336693382,1.0734306830105,0.0,0.01,5.4,-5.4,0,1128.76032447815
0.0018716547046728,1.03237721446843,8.95332714558375,1.07206736026757,0.0,0.01,5.5,-5.5,1,10463.715372324
0.0018383195227466,1.03244231476345,9.11644590426136,1.07075740424402,0.0,0.01,5.6,-5.6,1,2260.52505326271
0.0018061503289475,1.03247646430043,9.27952496711414,1.0695113705017,0.0,0.01,5.7,-5.7,0,1872.04525971413
0.0017750870323588,1.0325390269471,9.44258224362402,1.06828938528914,0.0,0.01,5.8,-5.8,1,2494.99742722511
0.001745073599456,1.03259546839385,9.60570861427249,1.06711081546977,0.0,0.01,5.9,-5.9,2,3949.30275511742
0.0017164851292417,1.03236206209936,9.77907437143008,1.06745320410737,0.0,0.01,6.0,-6.0,0,1227.82300329208
0.0019968931674863,1.03142308954068,17.0493089198618,1.28428716549188,0.282815383813789,0.01,6.1,-6.1,1,2684.08595967293
0.0016608261647892,1.03272941320453,10.0949554319337,1.06380636785779,0.0,0.01,6.2,-6.2,0,1585.04497170448
0.0016345218824152,1.032787605854,10.2580089628456,1.06277179364149,0.0,0.01,6.3,-6.3,0,1635.98660755157
0.0016090374534347,1.03281311760755,10.4210372528489,1.06178849848964,0.0,0.01,6.4,-6.4,1,2485.98317527771
0.0015843351525507,1.03286093633002,10.5841243493766,1.06081437152971,0.0,0.01,6.5,-6.5,0,1738.96856784821
0.0018462621867491,1.03181321091817,18.4455949754923,1.26280415887926,0.261567281106424,0.01,6.6,-6.6,0,1686.47535562515
0.0018188203607165,1.03188391867795,18.7248344178196,1.25887953164617,0.257693784693163,0.01,6.7,-6.7,1,2667.97078275681
0.0015145769451669,1.03296119806361,11.0732886647674,1.05809967740347,0.0,0.01,6.8,-6.8,0,1788.22097349167
0.0017663115886119,1.03201007507969,19.2834234754623,1.25139151988302,0.250284512970949,0.01,6.9,-6.9,1,9105.07406020165
0.0014713856117578,1.03302654956977,11.3993711963061,1.05641486666788,0.0,0.01,7.0,-7.0,1,2174.19900012016
0.0014507003885442,1.03305049100819,11.5623819224372,1.05560884637389,0.0,0.01,7.1,-7.1,0,1690.07822322845
0.0014305884942648,1.03308505472984,11.7253840079272,1.05483199633244,0.0,0.01,7.2,-7.2,1,2720.43251800537
0.0014110264266636,1.03310990493862,11.8884435890459,1.05406450337971,0.0,0.01,7.3,-7.3,1,2658.65926480293
0.0013919919502478,1.03312911862522,12.0514273462349,1.0533287689063,0.0,0.01,7.4,-7.4,0,1909.48828840256
0.0013734640122119,1.03316308773225,12.2144207199572,1.05260935379526,0.0,0.01,7.5,-7.5,0,2409.54399466515
0.0013554226647589,1.03319159356564,12.3774785117909,1.05189953386908,0.0,0.01,7.6,-7.6,0,1535.471555233
0.0013378489936443,1.03321033660176,12.5404751551651,1.05122646510257,0.0,0.01,7.7,-7.7,0,1539.33558726311
0.0013207250520307,1.0332362070923,12.7035266789197,1.050556940325,0.0,0.01,7.8,-7.8,0,1513.73470616341
0.0013040337995369,1.03325224068214,12.8664709235457,1.04990976858249,0.0,0.01,7.9,-7.9,0,2023.89796090126
0.0015242555697693,1.03254006963294,22.3552936165296,1.21689676517496,0.216107852794353,0.01,8.0,-8.0,0,1866.28214383125
0.0012718853973951,1.03329205224428,13.1925317732394,1.04867013070645,0.0,0.01,8.1,-8.1,0,1728.35712456703
0.0014871962228949,1.03262028975534,22.9138635288454,1.2116163133766,0.210873214016499,0.01,8.2,-8.2,0,2201.44500374794
0.001469333863136,1.03265627607508,23.1930173894766,1.20907739438723,0.208352123941845,0.01,8.3,-8.3,1,2298.66744017601
0.001451895281214,1.03268968363199,23.4723758692628,1.2065927861752,0.20588606738275,0.01,8.4,-8.4,0,1342.38052558899
0.0012121192978811,1.03336209265363,13.844491903043,1.0463513561156,0.0,0.01,8.5,-8.5,2,4143.7151901722
0.0014182305530562,1.03275626644244,24.0308668853966,1.2017940903918,0.20113121849406,0.01,8.6,-8.6,0,2261.35230708122
0.0014019766429598,1.03278528255267,24.3101412298128,1.19947571088367,0.19883391617645,0.01,8.7,-8.7,0,2520.55561065674
0.0011708544220438,1.03341507101541,14.333494886747,1.0447501977388,0.0,0.01,8.8,-8.8,0,1644.44072675705
0.0011577166680094,1.03342558248923,14.4964195715718,1.0442467202376,0.0,0.01,8.9,-8.9,1,3047.88886570931
0.0011448704029954,1.03345113385753,14.6594247789451,1.04374329687193,0.0,0.01,9.0,-9.0,0,1381.06695270538
0.0011323060345907,1.03346000541049,14.8224010147751,1.04325560377202,0.0,0.01,9.1,-9.1,2,3959.30436301231
0.001325990454292,1.03292545150751,25.7065568765067,1.18865831484949,0.188095023156611,0.01,9.2,-9.2,1,3601.46675777435
0.0011079866771721,1.03348573599693,15.1483777152553,1.04232262612776,7.17114012575407e-16,0.01,9.3,-9.3,3,3996.49385285378
0.0010962144966897,1.0335064473177,15.3113754936066,1.04186116768651,0.0,0.01,9.4,-9.4,0,1708.6303217411
0.0010846897894698,1.03351196064405,15.4743165201398,1.04141956550315,0.0,0.01,9.5,-9.5,3,4850.77788829804
0.0010734048347257,1.0335294089782,15.6373362743013,1.0409831032866,0.0,0.01,9.6,-9.6,0,1623.7253947258
0.0012578146746422,1.03304622107384,27.1029267847569,1.17894807123437,0.178456663111712,0.01,9.7,-9.7,1,3556.89762592316
0.0010515248723207,1.03355651465587,15.9632888697347,1.04013303885134,0.0,0.01,9.8,-9.8,0,2143.88403964043
0.0010409159483624,1.03356109564079,16.1262836228703,1.03972832138406,0.0,0.01,9.9,-9.9,1,3115.63478517532
0.0012201724060579,1.03311495748401,27.9408015049264,1.17358439243718,0.173132611050647,0.01,10.0,-10.0,2,6366.28409385681
0.0012081205384856,1.03312478457518,28.2200146266709,1.17187932500532,0.171429405843006,0.01,10.1,-10.1,1,3253.26994395256
0.0010103356279292,1.03359276098143,16.6151366771612,1.03854709108271,0.0,0.01,10.2,-10.2,1,2860.04258990288
0.0010005375325752,1.03360333131708,16.7781394025761,1.0381709030455,0.0,0.01,10.3,-10.3,0,40695.8073782921
0.0011662883350493,1.0342941471011,29.3744787165846,1.36546972060279,0.36634330881038,0.01,10.4,-10.4,1,4489.01462483406
0.0011622026234554,1.03320262151776,29.337173296032,1.16533895310465,0.164934259993202,0.01,10.5,-10.5,3,6535.77258014679
0.00097225107033,1.03362708584884,17.266986271862,1.03708670152009,0.0,0.01,10.6,-10.6,0,3425.92432761192
0.0011405277882064,1.03323630075819,29.8956740163299,1.16225659944885,0.161868444108548,0.01,10.7,-10.7,0,2670.34997844696
0.0009542653987743,1.03364776463099,17.5929610467607,1.03638752010901,0.0,0.01,10.8,-10.8,1,2756.32077765465
0.0011196463792663,1.03326738363688,30.4542668780676,1.15928539290351,0.158915025398642,0.01,10.9,-10.9,0,41949.8415210247
0.0011094897226396,1.03328228628506,30.733608065006,1.15783817412256,0.157477734530243,0.01,11.0,-11.0,0,3486.07723975182
0.0010995156258057,1.03330165232826,31.0127974009864,1.15641740425793,0.156066750106601,0.01,11.1,-11.1,3,45480.3773839474
0.0009202188416499,1.03367907016062,18.2447389954445,1.03507673495797,0.0,0.01,11.2,-11.2,0,3586.87532091141
0.0010800957760709,1.03332614149339,31.5713444265422,1.15365228814926,0.15331770221728,0.01,11.3,-11.3,1,3512.27017188072
0.000904090507003,1.03369614243623,18.5707117186538,1.03445965888128,0.0,0.01,11.4,-11.4,0,2015.58726096153
0.000896236474223,1.03370029609221,18.7336327712755,1.03415400646723,0.0,0.01,11.5,-11.5,3,54440.1033709049
0.0010522187163868,1.03336774057584,32.4092776483583,1.14968494263268,0.149373089105778,0.01,11.6,-11.6,4,7312.10345816612
0.0008809307397386,1.03371372091186,19.0595565796524,1.03357149936388,0.0,0.01,11.7,-11.7,1,4543.65582346916
0.0008734722271733,1.03372328077491,19.222476042928,1.03327998348407,0.0,0.01,11.8,-11.8,0,3616.3348596096
0.0010257441061633,1.03340376723145,33.2470703268557,1.14591934437827,0.145626485470268,0.01,11.9,-11.9,0,2830.56671476364
0.0008589277344465,1.03373899260089,19.5484351122705,1.03272081015029,0.0,0.01,12.0,-12.0,1,2641.86437511444
0.0010088221159755,1.03343011428089,33.8056506700798,1.14351453123549,0.143231527814894,0.01,12.1,-12.1,0,49314.8274188042
0.0008448596183395,1.03374789846414,19.874283277492,1.03218117965801,0.0,0.01,12.2,-12.2,0,35482.5952095985
0.0009875438018439,1.0350764630321,34.7497921950102,1.23363376028166,0.235426430560271,0.01,12.3,-12.3,1,39805.4454247952
0.0009844604930597,1.03345510225509,34.6435466819063,1.14004469100873,0.139782406508606,0.01,12.4,-12.4,3,6714.70175909996
0.0009765992720578,1.03346706023334,34.922818963746,1.13892700958398,0.138669545297013,0.01,12.5,-12.5,1,3662.70847868919
