P_max,OmegaA,OmegaB,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
0.6468414810552578,0.0146214165896878,1.4464270259328456,100.88386409379322,99.86868254738236,0.01,0.0,-0.0,0.0,704.5948276519775
0.1067177501570174,0.2003034749409034,1.4853754552807676,13.24001968930992,12.246293404685686,0.01,0.1,-0.1,1.0,18013.027349710464
5.762754048572694e-31,1.0806932811788357,2.754976154611509,96.95359922459367,68.68913600090069,0.01,0.2,-0.2,0.0,88.83358550071716
0.0,2.637844881607638,4.462395474775251,147.99141460140618,134.26452453682592,0.01,0.3,-0.3,0.0,12.806197881698608
1.0658674178402764e-30,0.8287462422091413,0.2794187556342296,112.08808960927598,113.53424587572752,0.01,0.4,-0.4,0.0,30.178049325943
0.0,3.3355228248355244,1.6121022584701836,149.20518396385765,145.86542013355646,0.01,0.5,-0.5,0.0,12.622692346572876
0.0079669315293467,0.9054353771106224,2.437596203307253,68.94083196097745,68.242909395012,0.01,0.6000000000000001,-0.6000000000000001,0.0,13789.316438436508
0.0032211352332815,0.0034747655852074,4.398260330971394,90.87591668654574,90.3965119497669,0.01,0.7000000000000001,-0.7000000000000001,0.0,75345.29406428337
1.1133041201425833e-30,4.6037923480801215,0.1745778173994248,58.18155206970877,78.01208047567286,0.01,0.8,-0.8,0.0,127.34417009353638
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,0.9,-0.9,0.0,12.69923710823059
1.0658835120614071e-30,0.8338173691213858,0.2854027137380139,116.4077617685682,104.20139038735915,0.01,1.0,-1.0,0.0,32.29528450965881
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,1.1,-1.1,0.0,12.849730968475342
0.0004355495862916,0.9321313777425216,1.4566520276921764,68.67855410771132,67.94757863943934,0.01,1.2000000000000002,-1.2000000000000002,0.0,17223.20756173134
4.72029280664541e-22,0.123337301830309,3.692247399313852,82.35218854021552,76.70826828149801,0.01,1.3,-1.3,0.0,178.41150856018066
1.1133099345635142e-30,3.7914763840225087,0.2466013312978229,57.76080527239843,67.1346385604344,0.01,1.4,-1.4,0.0,60.908127546310425
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,1.5,-1.5,0.0,12.073131799697876
1.0658908513769415e-30,0.8209711154935485,0.2867691925956351,115.5241860280788,107.76550090808156,0.01,1.6,-1.6,0.0,33.708568811416626
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,1.7000000000000002,-1.7000000000000002,0.0,12.199640274047852
8.661037351423756e-06,0.959728961968275,3.3269427987350526,68.56347527107769,67.96325677780354,0.01,1.8,-1.8,0.0,44014.069127082825
0.0003025296265578,0.1279528814208568,3.709778143511782,78.02553534329552,77.94945096259184,0.01,1.9,-1.9,0.0,62100.189091682434
1.113309741688446e-30,3.8186971127611855,0.2389571349864824,57.59250564205415,68.67554297985399,0.01,2.0,-2.0,0.0,59.00141286849976
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,2.1,-2.1,0.0,12.92998480796814
1.0658905394104603e-30,0.8314290264946607,0.2864209953014315,115.122561983789,108.41184924842096,0.01,2.2,-2.2,0.0,38.80600619316101
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,2.3000000000000003,-2.3000000000000003,0.0,13.047792196273804
1.4224757700540108e-08,0.955752699852458,1.5953681753452615,67.9740081776356,67.53678548780297,0.01,2.4000000000000004,-2.4000000000000004,0.0,28278.50881004333
0.0008776979841516,0.1166197090577049,3.165455915512162,88.9328104578984,88.81220048300895,0.01,2.5,-2.5,0.0,68025.51675724983
1.113307680193496e-30,3.89595965788037,0.2451168324019699,57.50188297594225,67.79253634281622,0.01,2.6,-2.6,0.0,55.88054394721985
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,2.7,-2.7,0.0,12.892097234725952
1.065882927432696e-30,0.8070976439631801,0.2865882251392379,116.01505981920006,107.00762672653346,0.01,2.8000000000000003,-2.8000000000000003,0.0,36.93168926239014
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,2.9000000000000004,-2.9000000000000004,0.0,13.041899681091309
3.2096270899802338e-21,0.688409112267609,2.3916609483374067,71.88423700496372,63.224695553071314,0.01,3.0,-3.0,1.0,309.0572609901428
0.0006178159508723,0.1171194651541917,3.732092747116575,80.66366606134619,80.47727080034414,0.01,3.1,-3.1,0.0,73694.38805747032
1.134975946423938e-30,4.056292084455582,0.2327765178318049,57.9968983835581,68.0195789726517,0.01,3.2,-3.2,0.0,46.99716520309448
0.0,2.637844881607638,4.462395474775251,147.99141460140618,134.26452453682592,0.01,3.3000000000000003,-3.3000000000000003,0.0,12.24318027496338
1.0658266280702711e-30,0.8553585029062644,0.2884548281166977,115.2065660401164,107.1339399652543,0.01,3.4000000000000004,-3.4000000000000004,0.0,29.483041286468502
0.0,3.3355228248355244,1.6121022584701836,149.20518396385765,145.86542013355646,0.01,3.5,-3.5,0.0,12.068301677703856
1.4303322363394356e-23,0.6456386199266222,2.542741877181508,73.39003822187578,62.60194665399858,0.01,3.6,-3.6,0.0,259.18311762809753
0.0010400886360089,0.1182531491516162,3.465622370313054,83.56662349364359,83.45543180551076,0.01,3.7,-3.7,0.0,59661.61277937889
1.1133092665356616e-30,3.880633167144473,0.2405546289327547,57.406490376073,68.58624333946356,0.01,3.8,-3.8,0.0,51.60585021972656
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,3.9,-3.9,0.0,12.098362922668455
5.329455305994065e-31,0.8228046901299505,0.2852961344713053,115.12926798555242,108.12571768630907,0.01,4.0,-4.0,0.0,35.378804206848145
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,4.1000000000000005,-4.1000000000000005,0.0,12.226211071014404
1.6718341291895118e-23,0.6402867362666947,2.53155962050519,73.74030441316522,62.77579452810736,0.01,4.2,-4.2,0.0,250.8643574714661
4.877070295402756e-05,0.1189691033538752,3.3437985411368443,84.82354441603908,84.7832041338315,0.01,4.3,-4.3,0.0,61844.93633556366
1.1132950144732782e-30,3.9156283414452657,0.2368262909419504,57.37830606452118,69.21552146597551,0.01,4.4,-4.4,0.0,47.35112309455872
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,4.5,-4.5,0.0,12.71693205833435
1.0658269463326706e-30,0.8276968390828765,0.2876678248056104,115.92968570502552,106.20530965485358,0.01,4.6000000000000005,-4.6000000000000005,0.0,29.050371885299683
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,4.7,-4.7,0.0,12.85209822654724
1.4334718171212098e-23,0.6417922299130048,2.532090479718568,73.66245363440169,62.73579232577339,0.01,4.800000000000001,-4.800000000000001,0.0,221.41361379623413
0.0001884083840686,0.1247805372100248,3.6461817851193175,82.58710053139993,82.64918862693877,0.01,4.9,-4.9,0.0,62810.93536925316
1.1133058142509053e-30,3.869958010839039,0.2401438976093881,57.35688603086184,68.66226236589208,0.01,5.0,-5.0,0.0,47.016332149505615
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,5.1000000000000005,-5.1000000000000005,0.0,12.088931560516356
1.0658910296027814e-30,0.8496852671116442,0.288116029972513,115.7129837244475,105.8224036608102,0.01,5.2,-5.2,0.0,40.10799431800842
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,5.300000000000001,-5.300000000000001,0.0,12.202543020248411
1.4331409102448768e-23,0.6436565312637657,2.534829904510227,73.60789771521655,62.71637419961286,0.01,5.4,-5.4,0.0,316.94462728500366
0.0013989435209442,0.1229534902457509,3.6043376133471337,82.48506834731893,82.47122592845773,0.01,5.5,-5.5,0.0,62176.0454416275
1.1133099375913553e-30,3.8652130203097688,0.2444044853274614,57.34005625783223,67.97291208705497,0.01,5.6000000000000005,-5.6000000000000005,0.0,55.80101752281189
0.0,1.5715662539453414,4.765328598058406,73.8461510172627,92.03667720801025,0.01,5.7,-5.7,0.0,12.112775564193726
5.329437773859388e-31,0.8439482925554548,0.2831317631485174,114.01472373374727,109.37889916981634,0.01,5.800000000000001,-5.800000000000001,0.0,25.47747802734375
0.0,1.119211944064292,3.799777566982942,133.23936107768134,95.66815294997608,0.01,5.9,-5.9,0.0,12.261868000030518
