t,P,Marginal
-9.741948389677935,5.213235347292036e-253,2.1891128813587504e-152
-9.735947189437887,8.276663993775332e-253,3.3626354893858426e-152
-9.729945989197839,1.300983717208636e-252,5.163884989172553e-152
-9.723944788957791,1.6018142346987503e-253,7.927905467049772e-152
-9.717943588717743,3.008787099714752e-253,1.2168176428977193e-151
-9.711942388477695,5.539510714144431e-253,1.8671433675399696e-151
-9.705941188237647,9.900505860139704e-253,2.8642766843455924e-151
-9.699939987997599,1.7160264282135367e-252,4.392759256364973e-151
-9.693938787757551,2.953273770800574e-252,6.73511430349024e-151
-9.687937587517503,5.45268098353283e-252,1.0323754587474181e-150
-9.681936387277455,6.332309769134436e-252,1.5820328857896257e-150
-9.675935187037407,7.230128406915196e-252,2.4236978368564535e-150
-9.669933986797359,8.779973415506195e-252,3.7121590621736486e-150
-9.66393278655731,1.5447195908477195e-251,5.684075164928701e-150
-9.657931586317263,2.6497502322181616e-251,8.701180565491583e-150
-9.651930386077215,4.4981018916354005e-251,1.3316242137792788e-149
-9.645929185837167,7.537586516679652e-251,2.0373719363766226e-149
-9.639927985597119,1.25580619179366e-250,3.116334656680053e-149
-9.63392678535707,2.071016575874637e-250,4.7654398585980196e-149
-9.627925585117023,3.3588672814411666e-250,7.285293122736675e-149
-9.621924384876975,5.438148836115516e-250,1.1134640540878662e-148
-9.615923184636927,8.76508659524666e-250,1.701337623665631e-148
-9.609921984396879,1.3988130567250714e-249,2.598902248935934e-148
-9.60392078415683,2.2340947910524302e-249,3.9689398541410325e-148
-9.597919583916783,3.5318456500752745e-249,6.059603729475466e-148
-9.591918383676735,5.567000585604053e-249,9.249091264024085e-148
-9.585917183436687,8.762435789138435e-249,1.4113640124274397e-147
-9.579915983196639,1.3672426037298408e-248,2.153099737804122e-147
-9.573914782956592,1.5094276178967422e-248,3.2837825508168825e-147
-9.567913582716542,3.31738701620706e-248,5.006909800501456e-147
-9.561912382476496,2.104846063676683e-249,7.632209423394381e-147
-9.555911182236446,7.725992258328895e-248,1.1630969685978933e-146
-9.5499099819964,7.917237790968152e-249,1.7720121819993147e-146
-9.543908781756352,1.0015081406981836e-248,2.6989983359756655e-146
-9.537907581516304,1.8728532864231663e-248,4.109828170560874e-146
-9.531906381276256,3.395340870896929e-248,6.256476920196852e-146
-9.525905181036208,5.996545150928423e-248,9.521846220791877e-146
-9.51990398079616,6.500832800388775e-248,1.4487638942883586e-145
-9.513902780556112,1.1538145199052554e-247,2.203734137259432e-145
-9.507901580316064,2.0142874885520915e-247,3.351242991430702e-145
-9.501900380076016,3.4541887340007664e-247,5.094924733790121e-145
-9.495899179835968,5.866244076148178e-247,7.743811288776597e-145
-9.48989797959592,9.744084226042715e-247,1.1766759681620477e-144
-9.483896779355872,1.6111163970683315e-246,1.787492140571786e-144
-9.477895579115824,2.6468024497336425e-246,2.714666806072204e-144
-9.471894378875776,4.292302768962886e-246,4.1216779860853956e-144
-9.465893178635728,6.901003873467785e-246,6.256287806765171e-144
-9.45989197839568,1.1057290221735581e-245,9.493896969970077e-144
-9.453890778155632,1.7640650518067584e-245,1.4403148682355325e-143
-9.447889577915584,2.7789545016748422e-245,2.1845173982713725e-143
-9.441888377675536,4.376759817370283e-245,3.3123689617020688e-143
-9.435887177435488,6.85913627992353e-245,5.021194442672735e-143
-9.42988597719544,1.069886472764367e-244,7.60957684314773e-143
-9.423884776955392,1.6672105803566956e-244,1.1529198298752792e-142
-9.417883576715344,2.5819180062642465e-244,1.7463160496748802e-142
-9.411882376475296,3.987908175238426e-244,2.6444278137847033e-142
-9.405881176235248,6.128173975746221e-244,4.003369920424124e-142
-9.3998799759952,9.167477302886269e-244,6.059054537102537e-142
-9.393878775755152,1.4064741842906487e-243,9.167884553398454e-142
-9.387877575515104,5.696009347681701e-244,1.3868150448269458e-141
-9.381876375275056,9.158208850576515e-244,2.097263929053061e-141
-9.375875175035008,1.4688167414490283e-243,3.170828585968319e-141
-9.36987397479496,2.348184140229591e-243,4.792670550941486e-141
-9.363872774554912,3.718839126350316e-243,7.242150113688057e-141
-9.357871574314863,5.844414567916848e-243,1.0940636849042756e-140
-9.351870374074815,9.190859983991129e-243,1.652352939166626e-140
-9.345869173834767,1.4375520087936991e-242,2.494871408492113e-140
-9.33986797359472,2.2325135391391363e-242,3.7659855458037337e-140
-9.333866773354671,3.4612768970308224e-242,5.683217352210593e-140
-9.327865573114623,2.3322161651390773e-242,8.574227782555695e-140
-9.321864372874575,3.732856813828953e-242,1.2932452793119332e-139
-9.315863172634527,5.9325313034741754e-242,1.950077721498628e-139
-9.30986197239448,9.37891626204086e-242,2.9397342594203685e-139
-9.303860772154431,1.1777404082087474e-241,4.430465513392916e-139
-9.297859571914383,1.855288137159533e-241,6.675376736222167e-139
-9.291858371674335,4.6567693298193963e-243,1.0055121786605439e-138
-9.285857171434287,1.2949235644501864e-242,1.5142027234173898e-138
-9.27985597119424,2.9664721524551204e-242,2.2796377724793498e-138
-9.273854770954191,6.190796194274693e-242,3.431095445633343e-138
-9.267853570714143,1.2171733844399347e-241,5.1627950825337814e-138
-9.261852370474095,2.3186931994503392e-241,7.766442110307699e-138
-9.255851170234047,4.224889551542748e-241,1.1680043612675168e-137
-9.249849969993999,7.448451102763551e-241,1.756110956725937e-137
-9.243848769753951,7.908413041962245e-241,2.639639227627115e-137
-9.237847569513903,1.4196875826524726e-240,3.9666358072866025e-137
-9.231846369273855,2.4653348263727944e-240,5.959162318250198e-137
-9.225845169033807,4.208993689407389e-240,8.95021019839656e-137
-9.219843968793759,7.06741863670824e-240,1.3438982473204206e-136
-9.213842768553711,1.1776510007424074e-239,2.017365886586766e-136
-9.207841568313663,1.9272735360086792e-239,3.027527455586301e-136
